title,content,label
"Indian Government Announces New Education Policy","The Indian government has announced a new education policy aimed at improving the quality of education in the country.","True"
"Fake News: India to Ban All Social Media Platforms","A viral post claims that the Indian government will ban all social media platforms, which is false and misleading.","Fake"
"India's Economy Grows by 7% in Q1 2023","According to the latest reports, India's economy has shown significant growth in the first quarter of 2023, indicating a strong recovery.","True"
"Rumor: Bollywood Actor Arrested for Drug Possession","A popular Bollywood actor has been falsely accused of drug possession, leading to widespread misinformation.","Fake"
"India Launches New Satellite for Communication","The Indian Space Research Organisation (ISRO) has successfully launched a new satellite to enhance communication services across the country.","True"
"West Bengal Chief Minister Announces New Welfare Schemes","The Chief Minister of West Bengal has unveiled several new welfare schemes aimed at supporting the underprivileged.","True"
"Fake News: Karnataka to Implement 100% Reservation for Locals","A misleading article claims that Karnataka will implement 100% reservation for locals in all jobs, which is not true.","Fake"
"New Bollywood Movie Breaks Box Office Records","The latest Bollywood blockbuster has shattered box office records, becoming the highest-grossing film of the year.","True"
"Product Launch: New Smartphone Features AI Technology","A leading tech company has launched a new smartphone that incorporates advanced AI technology for enhanced user experience.","True"
"Fake News: Indian Railways to Increase Fares by 50%","A rumor circulating on social media claims that Indian Railways will increase fares by 50%, which has been denied by officials.","Fake"
"Delhi Chief Minister Promises Free Wi-Fi Across the City","The Delhi government has announced plans to provide free Wi-Fi in public areas to enhance connectivity.","True"
"Fake News: Maharashtra to Ban All Non-Vegetarian Food","A viral post claims that Maharashtra will ban all non-vegetarian food, which is false and misleading.","Fake"
"New Film 'The Great Indian Escape' Receives Critical Acclaim","The new film has been praised for its storytelling and performances, making it a must-watch this season.","True"
"Product Recall: Popular Snack Brand Issues Safety Warning","A popular snack brand has issued a recall due to potential contamination, ensuring consumer safety.","True"
"Fake News: Gujarat to Implement 24-Hour Curfew","A false report claims that Gujarat will impose a 24-hour curfew, which has been denied by local authorities.","Fake"
